file_name,area,centroid,perimeter,B,D1,D2,A1,A2
ISIC_0011943.jpg,25303,"[149, 146]",1093,3.76,265,154,0.34,0.37
ISIC_0012063.jpg,16017,"[162, 109]",772,2.96,170,140,0.24,0.41
ISIC_0014133.jpg,39105,"[115, 128]",2324,10.99,280,260,0.3,0.71
ISIC_0014173.jpg,17825,"[170, 144]",1110,5.5,255,136,0.62,0.85
ISIC_0014302.jpg,5933,"[154, 138]",410,2.26,118,56,0.34,0.47
ISIC_0015041.jpg,11570,"[130, 157]",627,2.71,155,116,0.33,0.32
ISIC_0015189.jpg,20144,"[144, 156]",1265,6.33,222,135,0.5,0.44
ISIC_0015190.jpg,29162,"[149, 128]",2182,13.0,259,206,0.47,0.67
ISIC_0024249.jpg,41313,"[220, 135]",4255,34.89,270,201,0.83,0.94
ISIC_0024315.jpg,10656,"[140, 132]",415,1.29,118,86,0.25,0.32
ISIC_0024449.jpg,38252,"[173, 158]",3091,19.88,302,302,0.88,1.15
ISIC_0024496.jpg,15336,"[146, 124]",806,3.37,219,100,0.24,0.24
ISIC_0024516.jpg,27569,"[143, 149]",984,2.8,232,174,0.25,0.23
ISIC_0024537.jpg,21839,"[151, 163]",1222,5.45,213,147,0.41,0.42
ISIC_0024546.jpg,21050,"[146, 148]",1711,11.07,245,163,0.72,0.62
ISIC_0024865.jpg,10431,"[145, 159]",592,2.67,138,77,0.27,0.32
ISIC_0024911.jpg,21540,"[272, 174]",1311,6.36,274,78,0.35,0.58
ISIC_0024951.jpg,20125,"[147, 134]",809,2.59,175,122,0.26,0.25
ISIC_0024961.jpg,34312,"[74, 181]",1236,3.54,272,238,0.79,1.07
ISIC_0024962.jpg,24971,"[165, 141]",1102,3.88,227,212,0.61,0.86
ISIC_0025145.jpg,58621,"[155, 140]",1818,4.49,325,302,0.23,0.59
ISIC_0025188.jpg,39345,"[167, 156]",2876,16.74,317,239,0.6,0.79
ISIC_0025268.jpg,36399,"[157, 165]",3384,25.04,408,205,0.96,0.95
ISIC_0025363.jpg,21513,"[30, 260]",1132,4.74,189,153,0.48,0.58
ISIC_0025500.jpg,30210,"[220, 162]",2315,14.13,263,230,0.72,0.85
ISIC_0025550.jpg,4372,"[144, 144]",332,2.01,103,65,0.23,0.26
ISIC_0025616.jpg,31562,"[139, 136]",2060,10.7,254,189,0.57,0.56
ISIC_0025814.jpg,31644,"[142, 149]",2774,19.36,351,229,1.0,0.79
ISIC_0025835.jpg,8578,"[147, 136]",551,2.82,129,102,0.38,0.28
ISIC_0026089.jpg,23699,"[125, 158]",1320,5.86,249,153,0.34,0.45
ISIC_0026352.jpg,19768,"[170, 139]",734,2.17,228,147,0.38,0.46
ISIC_0026458.jpg,27542,"[145, 137]",1470,6.25,280,166,0.38,0.37
ISIC_0026489.jpg,35637,"[155, 153]",1713,6.56,288,179,0.32,0.42
ISIC_0026506.jpg,11720,"[166, 81]",479,1.56,130,119,0.13,0.14
ISIC_0026596.jpg,15004,"[135, 137]",783,3.26,219,104,0.78,0.27
ISIC_0026652.jpg,35808,"[133, 163]",2944,19.27,323,213,0.81,0.88
ISIC_0026690.jpg,31658,"[140, 152]",1653,6.87,248,242,0.55,0.4
ISIC_0026694.jpg,12537,"[194, 156]",885,4.97,188,135,0.92,0.42
ISIC_0026770.jpg,36796,"[135, 162]",1298,3.65,250,204,0.26,0.25
ISIC_0026796.jpg,43678,"[149, 141]",3934,28.2,421,288,1.19,1.17
ISIC_0026868.jpg,40377,"[211, 152]",3495,24.08,324,308,1.16,1.56
ISIC_0026877.jpg,39450,"[148, 162]",1839,6.83,314,230,0.49,0.62
ISIC_0026950.jpg,15621,"[141, 135]",1404,10.05,237,128,0.85,0.65
ISIC_0026993.jpg,18498,"[151, 153]",621,1.66,173,149,0.23,0.23
ISIC_0027105.jpg,8031,"[147, 130]",821,6.69,153,107,0.64,0.65
ISIC_0027144.jpg,12861,"[159, 164]",636,2.51,164,119,0.29,0.27
ISIC_0027171.jpg,28924,"[151, 143]",821,1.86,232,186,0.16,0.13
ISIC_0027263.jpg,25403,"[135, 176]",1258,4.96,221,93,0.37,0.36
ISIC_0027277.jpg,25036,"[150, 150]",796,2.02,228,151,0.32,0.38
ISIC_0027327.jpg,12172,"[155, 152]",642,2.7,170,120,0.29,0.38
ISIC_0027328.jpg,37356,"[142, 122]",4573,44.55,304,240,1.03,1.25
ISIC_0027350.jpg,16710,"[272, 194]",1564,11.65,323,139,0.96,0.99
ISIC_0032873.jpg,40923,"[177, 150]",1144,2.55,311,232,0.37,0.37
ISIC_0032922.jpg,27290,"[111, 150]",1401,5.73,237,174,0.36,0.52
ISIC_0032936.jpg,34214,"[146, 154]",1270,3.75,285,183,0.22,0.23
ISIC_0033061.jpg,31945,"[160, 133]",1510,5.68,245,194,0.36,0.33
ISIC_0033129.jpg,47509,"[144, 152]",1550,4.03,313,249,0.26,0.39
ISIC_0033141.jpg,21502,"[163, 151]",782,2.27,190,142,0.16,0.16
ISIC_0033183.jpg,24452,"[158, 152]",1598,8.32,238,185,0.6,0.59
ISIC_0033186.jpg,33890,"[144, 150]",928,2.02,242,194,0.11,0.18
ISIC_0033192.jpg,28276,"[145, 155]",1259,4.47,256,243,0.38,0.28
ISIC_0033216.jpg,15033,"[156, 143]",744,2.93,178,127,0.2,0.18
ISIC_0033241.jpg,37690,"[142, 149]",1351,3.85,257,227,0.45,0.22
ISIC_0033245.jpg,23653,"[151, 149]",1027,3.56,237,226,1.04,1.48
ISIC_0033258.jpg,22580,"[158, 164]",1356,6.49,234,161,0.65,0.57
ISIC_0033261.jpg,35657,"[146, 147]",1236,3.41,262,185,0.2,0.2
ISIC_0033337.jpg,16298,"[154, 165]",1036,5.25,228,206,0.73,1.27
ISIC_0033399.jpg,44064,"[146, 135]",1200,2.6,290,220,0.31,0.31
ISIC_0033518.jpg,27951,"[157, 153]",963,2.65,274,122,0.25,0.29
ISIC_0033562.jpg,23587,"[167, 145]",1280,5.53,237,168,0.53,0.54
ISIC_0033603.jpg,33169,"[159, 146]",1109,2.95,252,188,0.14,0.17
ISIC_0033607.jpg,9902,"[164, 148]",438,1.55,128,87,0.17,0.19
ISIC_0033630.jpg,30767,"[154, 151]",1136,3.34,231,150,0.29,0.3
ISIC_0033662.jpg,23065,"[146, 141]",744,1.91,235,157,0.19,0.14
ISIC_0033670.jpg,37520,"[135, 142]",1448,4.45,291,205,0.48,0.22
ISIC_0033700.jpg,33618,"[158, 184]",1370,4.45,256,232,0.45,1.11
ISIC_0033728.jpg,23709,"[140, 144]",1289,5.58,273,188,0.61,1.36
ISIC_0033801.jpg,28153,"[149, 140]",1241,4.36,249,175,0.21,0.18
ISIC_0033806.jpg,19537,"[147, 90]",2133,18.55,221,173,1.17,0.91
ISIC_0033848.jpg,38786,"[132, 153]",1024,2.15,245,236,0.3,0.22
ISIC_0033883.jpg,,,,,,,,
ISIC_0033911.jpg,36544,"[174, 137]",1831,7.31,250,215,0.37,0.4
ISIC_0033931.jpg,30084,"[57, 99]",1727,7.89,248,246,0.86,0.95
ISIC_0033946.jpg,22449,"[150, 138]",558,1.11,173,82,0.17,0.18
ISIC_0033956.jpg,15234,"[154, 168]",979,5.01,189,140,0.54,0.55
ISIC_0033967.jpg,12550,"[152, 139]",540,1.85,104,85,0.27,0.25
ISIC_0034028.jpg,20024,"[154, 137]",943,3.54,262,129,0.27,0.4
ISIC_0034036.jpg,29676,"[199, 84]",838,1.88,194,161,0.35,0.74
ISIC_0034049.jpg,16537,"[147, 146]",644,2.0,172,113,0.2,0.25
ISIC_0034071.jpg,15260,"[128, 150]",976,4.97,206,136,0.92,0.47
ISIC_0034076.jpg,14544,"[150, 132]",724,2.87,182,125,0.48,0.56
ISIC_0034085.jpg,24814,"[137, 145]",1080,3.75,225,144,0.28,0.32
ISIC_0034092.jpg,14772,"[177, 169]",1086,6.36,192,137,0.64,0.72
ISIC_0034134.jpg,13988,"[103, 132]",904,4.65,174,143,0.65,0.63
ISIC_0034233.jpg,24034,"[140, 141]",676,1.52,193,183,0.25,0.48
